"State","Year","electricity","auto","ng","food","house_own","house_rent","rPCE"
"Kentucky",2021,1207.7952,1040.11,732.6,3533.7475,10840.2688516333,11410.23948028,42358
"Kentucky",2022,1356.6432,1078.12,874.8,3947.56625,14670.6418613167,12856.1429987167,43032
"Mississippi",2015,1201.416,1001.17,582,3153.6,8655.9647937,10629.134246,34348
"Mississippi",2016,1116.36,1046.69,603.6,3252.15,8985.48984696667,11195.91780825,34726
"Mississippi",2017,1190.784,1105.92,709.8,3208.35,9363.76505243333,11595.4791212,35249
"Mississippi",2018,1195.0368,1153.33,626.4,3175.5,10103.904626,11946.5682119,36127
"Mississippi",2019,1203.5424,1150.84,634.8,3362.4512195122,9955.0613006,12310.52401795,36184
"Mississippi",2020,1191.8472,1148.95,690.6,3444.44268292683,9702.06668423333,12938.834615,36640
"Mississippi",2021,1239.6912,1172.83,758.4,3753.84695121951,10345.7297287333,14220.6499358333,39186
"Mississippi",2022,1339.632,1232.4,873,4203.46463414634,13833.6461015333,15272.8009622,39613
"Tennessee",2015,1087.6536,880.98,577.2,3219.3,8971.48995643,11189.77047778,36804
"Tennessee",2016,1090.8432,907.93,552.6,3285,9250.9452728,11376.3144990567,37209
"Tennessee",2017,1131.2448,957.28,618.6,3241.2,10017.99448364,11680.0196365167,38256
"Tennessee",2018,1130.1816,998.03,567.6,3317.85,10941.67808192,12139.8295944,40185
"Tennessee",2019,1148.256,1004.15,567.6,3451.3247368421,10893.30354424,12717.7342876333,40278
"Tennessee",2020,1146.1296,987.96,538.2,3570.96789473684,10905.5361737,13358.3709490286,39921
"Tennessee",2021,1175.8992,1001.12,617.4,3900.27473684211,12111.02161724,14635.2243606463,43449
"Tennessee",2022,1311.9888,1061.15,747,4377.69473684211,17477.17463511,15903.1700877561,43867
"Arkansas",2015,1047.252,910.01,694.8,2978.4,7961.40519458333,9719.36187671667,35530
"Arkansas",2016,1055.7576,955.21,670.2,3066,8142.79836978333,10025.83554185,36276
"Arkansas",2017,1090.8432,1039.1,778.2,3055.05,8639.92715571667,10346.543783425,37001
"Arkansas",2018,1049.3784,1097.84,706.2,3033.15,9387.63872611667,10551.838722925,38399
"Arkansas",2019,1049.3784,1098.95,663,3146.738,9255.08874325,10863.568787575,38269
"Arkansas",2020,1111.044,1078.31,736.8,3254.924,9084.84205411667,11290.44015365,37974
"Arkansas",2021,1205.6688,1089.02,753,3644.452,10002.0807507,12278.6588064,40653
"Arkansas",2022,1265.208,1132.14,1017,4048.872,13881.31199205,13367.5541997,41952
"Louisiana",2015,985.5864,1420.45,646.2,3076.95,10402.0757000125,12729.6464803,37327
"Louisiana",2016,967.512,1509.51,681,3164.55,10665.4324377361,12441.7465565683,37430
"Louisiana",2017,1018.5456,1637.57,782.4,3295.95,11032.1652072222,12541.91237006,38507
"Louisiana",2018,995.1552,1755.08,699,3339.75,11775.0829080222,12675.9130443,39796
"Louisiana",2019,1017.4824,1763.87,689.4,3337.86796875,11446.1917779667,12746.99147892,40161
"Louisiana",2020,1005.7872,1684.76,729.6,3473.203125,10989.6848042111,13009.96668669,39294
"Louisiana",2021,1164.204,1682.47,772.2,3861.24375,11161.4834609444,13698.9237574548,42525
"Louisiana",2022,1346.0112,1742.87,953.4,4308.99609375,14248.4321383889,13980.8280140238,43723
"Oklahoma",2015,1071.7056,1010.14,614.4,3087.9,8610.8612695,10213.0097971667,35774
"Oklahoma",2016,1083.4008,1042.89,634.2,3153.6,201518.509874575,10297.2933732333,35889
"Oklahoma",2017,1122.7392,1100.9,684,3142.65,9126.359916625,10423.3888398,36545
"Oklahoma",2018,1102.5384,1127.04,555,3164.55,9575.435072525,10646.2016538,37841
